alloy,Cu,Mg,Mn,Si,Zn,Cr,Fe,Ti,Ag,Zr
2224,4.35,1.50,0.60,0.05,0.10,0.025,0.05,0.03,0.00,0.00
2324,4.10,1.50,0.60,0.03,0.05,0.025,0.05,0.03,0.14,0.165
6063,0.05,0.675,0.05,0.40,0.05,0.05,0.175,0.05,0.00,0.00
6061,0.275,1.00,0.075,0.60,0.125,0.195,0.35,0.075,0.00,0.00
2024-T3,4.35,1.50,0.60,0.25,0.125,0.05,0.25,0.075,0.00,0.00
7068,1.75,2.60,0.05,0.05,7.80,0.025,0.075,0.05,0.00,0.10
2024-X,4.35,1.50,0.60,0.25,0.125,0.05,0.25,0.075,0.00,0.00
7075-T6,1.40,2.30,0.15,0.20,5.85,0.23,0.25,0.10,0.00,0.00
5052,0.05,2.50,0.05,0.125,0.05,0.25,0.20,0.075,0.00,0.00
7475,1.55,1.55,0.03,0.05,5.70,0.215,0.06,0.03,0.00,0.00
7055,2.30,2.05,0.05,0.06,8.00,0.10,0.075,0.03,0.00,0.115
